dataset,foundational_model,adapter,n_features,n_components,is_fine_tuned,pca_in_preprocessing,use_revin,context_length,forecasting_horizon,running_time,seed,metric,value,train_size
ETTh2,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,5678.725668668747,14525.0,mse,0.317348395016941,1000.0
ETTh2,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,5678.725668668747,14525.0,mae,0.38120707598793024,1000.0
ETTh2,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,5678.725668668747,14525.0,scaled_mse,0.3239791143306852,1000.0
ETTh2,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,5678.725668668747,14525.0,scaled_mae,0.3854419632429141,1000.0
ETTh1,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,7896.406404256821,30821.0,mse,0.4049472706077177,1000.0
ETTh1,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,7896.406404256821,30821.0,mae,0.4260184554020395,1000.0
ETTh1,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,7896.406404256821,30821.0,scaled_mse,0.4126725224996383,1000.0
ETTh1,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,7896.406404256821,30821.0,scaled_mae,0.42982501589794325,1000.0
ETTh2,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,5511.643972158432,4720.0,mse,0.3043339907174319,1000.0
ETTh2,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,5511.643972158432,4720.0,mae,0.36863139507436066,1000.0
ETTh2,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,5511.643972158432,4720.0,scaled_mse,0.3013565608846314,1000.0
ETTh2,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,5511.643972158432,4720.0,scaled_mae,0.3674687449523322,1000.0
Weather,AutonLab/MOMENT-1-small,linearAE,21,21,ft_then_supervised,False,True,512.0,96,20617.998471021652,23768.0,mse,0.16954890022186503,1000.0
Weather,AutonLab/MOMENT-1-small,linearAE,21,21,ft_then_supervised,False,True,512.0,96,20617.998471021652,23768.0,mae,0.22591404474833737,1000.0
Weather,AutonLab/MOMENT-1-small,linearAE,21,21,ft_then_supervised,False,True,512.0,96,20617.998471021652,23768.0,scaled_mse,0.16809293220878893,1000.0
Weather,AutonLab/MOMENT-1-small,linearAE,21,21,ft_then_supervised,False,True,512.0,96,20617.998471021652,23768.0,scaled_mae,0.22501936917489226,1000.0
ETTh2,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,58.49493622779846,23166.0,mse,0.3067213691525106,1000.0
ETTh2,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,58.49493622779846,23166.0,mae,0.36064037897834006,1000.0
ETTh2,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,58.49493622779846,23166.0,scaled_mse,0.3062500471698756,1000.0
ETTh2,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,58.49493622779846,23166.0,scaled_mae,0.35912243197465454,1000.0
ETTh2,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,79.79090452194214,25033.0,mse,0.3036932935369658,1000.0
ETTh2,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,79.79090452194214,25033.0,mae,0.3614644256674261,1000.0
ETTh2,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,79.79090452194214,25033.0,scaled_mse,0.31333186328484364,1000.0
ETTh2,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,79.79090452194214,25033.0,scaled_mae,0.3668559153004489,1000.0
Weather,AutonLab/MOMENT-1-small,,21,21,ft,False,False,512.0,96,245.86677384376526,3283.0,mse,0.18743049822171143,1000.0
Weather,AutonLab/MOMENT-1-small,,21,21,ft,False,False,512.0,96,245.86677384376526,3283.0,mae,0.24264966211291208,1000.0
Weather,AutonLab/MOMENT-1-small,,21,21,ft,False,False,512.0,96,245.86677384376526,3283.0,scaled_mse,0.18429187568009844,1000.0
Weather,AutonLab/MOMENT-1-small,,21,21,ft,False,False,512.0,96,245.86677384376526,3283.0,scaled_mae,0.24224780051363254,1000.0
Weather,AutonLab/MOMENT-1-small,,21,21,ft,False,False,512.0,96,264.6661193370819,14199.0,mse,0.18694449262330473,1000.0
Weather,AutonLab/MOMENT-1-small,,21,21,ft,False,False,512.0,96,264.6661193370819,14199.0,mae,0.24170719368452714,1000.0
Weather,AutonLab/MOMENT-1-small,,21,21,ft,False,False,512.0,96,264.6661193370819,14199.0,scaled_mse,0.18540459047273475,1000.0
Weather,AutonLab/MOMENT-1-small,,21,21,ft,False,False,512.0,96,264.6661193370819,14199.0,scaled_mae,0.2396482904582684,1000.0
Weather,AutonLab/MOMENT-1-small,linearAE,21,21,ft_then_supervised,False,True,512.0,96,17980.84320306778,15998.0,mse,0.16904170860414805,1000.0
Weather,AutonLab/MOMENT-1-small,linearAE,21,21,ft_then_supervised,False,True,512.0,96,17980.84320306778,15998.0,mae,0.22625934002692508,1000.0
Weather,AutonLab/MOMENT-1-small,linearAE,21,21,ft_then_supervised,False,True,512.0,96,17980.84320306778,15998.0,scaled_mse,0.16723916753647503,1000.0
Weather,AutonLab/MOMENT-1-small,linearAE,21,21,ft_then_supervised,False,True,512.0,96,17980.84320306778,15998.0,scaled_mae,0.22652898760482382,1000.0
Illness,AutonLab/MOMENT-1-small,dropoutLinearAE,7,7,ft_then_supervised,False,True,512.0,96,50.648812770843506,20143.0,mse,3.635300377680001,69.0
Illness,AutonLab/MOMENT-1-small,dropoutLinearAE,7,7,ft_then_supervised,False,True,512.0,96,50.648812770843506,20143.0,mae,1.3338886363311555,69.0
Illness,AutonLab/MOMENT-1-small,dropoutLinearAE,7,7,ft_then_supervised,False,True,512.0,96,50.648812770843506,20143.0,scaled_mse,3.557776390333121,69.0
Illness,AutonLab/MOMENT-1-small,dropoutLinearAE,7,7,ft_then_supervised,False,True,512.0,96,50.648812770843506,20143.0,scaled_mae,1.384066339932795,69.0
Illness,AutonLab/MOMENT-1-small,dropoutLinearAE,7,7,ft_then_supervised,False,True,512.0,24,113.6777446269989,29256.0,mse,2.874448513840025,141.0
Illness,AutonLab/MOMENT-1-small,dropoutLinearAE,7,7,ft_then_supervised,False,True,512.0,24,113.6777446269989,29256.0,mae,1.1854115057485084,141.0
Illness,AutonLab/MOMENT-1-small,dropoutLinearAE,7,7,ft_then_supervised,False,True,512.0,24,113.6777446269989,29256.0,scaled_mse,2.1891625661439362,141.0
Illness,AutonLab/MOMENT-1-small,dropoutLinearAE,7,7,ft_then_supervised,False,True,512.0,24,113.6777446269989,29256.0,scaled_mae,1.087025200665736,141.0
Illness,AutonLab/MOMENT-1-small,linearEncoder,7,7,ft_then_supervised,False,True,512.0,24,87.0162889957428,9135.0,mse,3.590533457508019,141.0
Illness,AutonLab/MOMENT-1-small,linearEncoder,7,7,ft_then_supervised,False,True,512.0,24,87.0162889957428,9135.0,mae,1.3443536526760498,141.0
Illness,AutonLab/MOMENT-1-small,linearEncoder,7,7,ft_then_supervised,False,True,512.0,24,87.0162889957428,9135.0,scaled_mse,2.9488841843698834,141.0
Illness,AutonLab/MOMENT-1-small,linearEncoder,7,7,ft_then_supervised,False,True,512.0,24,87.0162889957428,9135.0,scaled_mae,1.253647918993839,141.0
Illness,AutonLab/MOMENT-1-small,dropoutLinearAE,7,7,ft_then_supervised,False,True,512.0,24,113.11333084106445,9494.0,mse,2.662881997192747,141.0
Illness,AutonLab/MOMENT-1-small,dropoutLinearAE,7,7,ft_then_supervised,False,True,512.0,24,113.11333084106445,9494.0,mae,1.1316653011774809,141.0
Illness,AutonLab/MOMENT-1-small,dropoutLinearAE,7,7,ft_then_supervised,False,True,512.0,24,113.11333084106445,9494.0,scaled_mse,2.018350916977463,141.0
Illness,AutonLab/MOMENT-1-small,dropoutLinearAE,7,7,ft_then_supervised,False,True,512.0,24,113.11333084106445,9494.0,scaled_mae,1.0354326453607272,141.0
Illness,AutonLab/MOMENT-1-small,linearEncoder,7,7,ft_then_supervised,False,True,512.0,24,101.2738356590271,17735.0,mse,3.340212427622044,141.0
Illness,AutonLab/MOMENT-1-small,linearEncoder,7,7,ft_then_supervised,False,True,512.0,24,101.2738356590271,17735.0,mae,1.304149374862301,141.0
Illness,AutonLab/MOMENT-1-small,linearEncoder,7,7,ft_then_supervised,False,True,512.0,24,101.2738356590271,17735.0,scaled_mse,2.6878380753182527,141.0
Illness,AutonLab/MOMENT-1-small,linearEncoder,7,7,ft_then_supervised,False,True,512.0,24,101.2738356590271,17735.0,scaled_mae,1.2158830546214374,141.0
Illness,AutonLab/MOMENT-1-small,linearDecoder,7,7,ft_then_supervised,False,True,512.0,24,126.00158286094666,20772.0,mse,2.6840093406553924,141.0
Illness,AutonLab/MOMENT-1-small,linearDecoder,7,7,ft_then_supervised,False,True,512.0,24,126.00158286094666,20772.0,mae,1.1100442292411423,141.0
Illness,AutonLab/MOMENT-1-small,linearDecoder,7,7,ft_then_supervised,False,True,512.0,24,126.00158286094666,20772.0,scaled_mse,2.059342494107354,141.0
Illness,AutonLab/MOMENT-1-small,linearDecoder,7,7,ft_then_supervised,False,True,512.0,24,126.00158286094666,20772.0,scaled_mae,1.018615435673407,141.0
Illness,AutonLab/MOMENT-1-small,linearEncoder,7,7,ft_then_supervised,False,True,512.0,24,85.27966332435608,28914.0,mse,2.7751615976273287,141.0
