dataset,foundational_model,adapter,n_features,n_components,context_length,forecasting_horizon,num_layers,hidden_dim,learning_rate,batch_size,coeff_reconstruction,running_time,seed,mse,mae,test_mse,test_mae
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,64,0.01,67.53592133522034,1333,0.7548956468781232,0.6697715449626478,4.754189225870665,1.461114424317442
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,32,1.0,124.91201567649841,1333,1.471016027949435,0.9943086323475736,6.830328365704196,1.9127000245957575
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,64,1.0,80.29556322097778,1333,0.7242907027281078,0.6834175358190203,5.214301752915775,1.6149592606087504
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,64,0.01,107.43961977958679,1333,1.2202036853744764,0.9045883276427886,6.272081564950514,1.8315300513013653
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,64,0.1,123.27937602996826,1333,0.751999794236959,0.6803730749196469,5.564117355357764,1.633874601176453
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,32,0.01,136.11269760131836,1333,0.7079248860426814,0.6676405024435591,5.1832765737857684,1.5946655925179138
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,64,10.0,111.14235973358154,1333,1.8757348349802714,1.0940481743814,8.081236608081339,2.026706580798932
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,32,0.01,137.7991921901703,1333,1.1747021296899638,0.8487112235130518,6.357745405907371,1.7717957092914145
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,32,10.0,97.67867708206177,1333,1.417315462572592,1.0077438501249814,7.141355799281708,2.006488060664308
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,32,0.01,108.3557755947113,1333,1.5870250695914074,0.9667159418181163,7.943285473770697,2.050671096583333
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.01,64,1.0,22.831329345703125,1333,1.0676132318789138,0.7711085694860573,8.181472213197901,2.089897395062831
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.01,32,10.0,44.11772680282593,1333,0.7359191133098977,0.6592470092957843,5.447557821281825,1.5722383641221873
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.01,32,0.1,60.91533637046814,1333,0.7427693550083478,0.6572956699315335,5.333169526869448,1.5394812552390496
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,64,0.01,117.17155170440674,1333,0.8471073734895063,0.7104510622675427,5.84881840384998,1.6876407440893544
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.01,64,0.01,68.86116290092468,1333,0.693925486904849,0.6577456142565669,4.802263519731313,1.539421665044056
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.01,32,1.0,45.25405144691467,1333,0.7410644169969719,0.6675815384607945,5.49108383404711,1.6105967301429875
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.01,64,10.0,33.448344469070435,1333,0.7916329989992734,0.6925292587114488,6.166739512706741,1.7326534717747522
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.01,32,1.0,32.34768629074097,1333,0.8301606680049922,0.6984528149809408,6.22873590092725,1.7154846097210188
